ClassInfo,Class,Name,Type,Idx,Desc,ProtocolName
#,#,,,,,
#ReqInfo,,,,,,
reqInfo,ReqInfo,,,,,
,ReqInfo,Seq,long,1,,
#,,,,,,
resInfo,ResInfo,,,,,
,ResInfo,ResultCode,int,1,,
,ResInfo,ResultMsg,string,2,,
#,,,,,,
req,AuthSignUpReq,,,,,auth/sign-up
,AuthSignUpReq,DeviceKey,string,2,,
res,AuthSignUpRes,,,,,
,AuthSignUpRes,SessionKey,string,2,,
req,AuthSignInReq,,,,,auth/sign-in
,AuthSignInReq,ChannelId,string,2,,
res,AuthSignInRes,,,,,
,AuthSignInRes,SessionKey,string,2,,
req,GameEnterReq,,,,,game/enter
res,GameEnterRes,,,,,
req,GameChangeNameReq,,,,,game/change-name
,GameChangeNameReq,PlayerName,string,2,,
res,GameChangeNameRes,,,,,
,GameChangeNameRes,PlayerName,string,2,,
